-0.7594,-0.67475,1.45328,-3.28073,-3.10239,-2.61831,-1.66346,-1.59877,-1.62017,-1.68697,1
-0.7594,-0.67475,1.45328,-2.98929,-2.90086,-2.61831,-1.64613,-1.58751,-1.60192,-1.67979,1
1.31652,-0.67475,-0.68794,-2.61458,-2.59857,-2.14016,-1.61146,-1.54921,-1.56999,-1.6438700000000002,1
-0.7594,-0.67475,1.45328,-3.19746,-3.05201,-2.49877,-1.66142,-1.59426,-1.62473,-1.68697,1
1.31652,-0.67475,-0.68794,-2.86438,-2.85048,-2.14016,-1.64307,-1.58075,-1.59736,-1.6438700000000002,1
-0.7594,-0.67475,1.45328,-2.61458,-2.59857,-2.14016,-1.60432,-1.5402,-1.5335,-1.60795,1
-0.7594,-0.67475,1.45328,-2.03169,-1.99397,-1.30338,-1.47279,-1.44334,-1.37841,-1.50019,1
-0.7594,-0.67475,1.45328,-2.69785,-2.64895,-1.90108,-1.6145200000000002,-1.56273,-1.56087,-1.63668,1
-0.7594,-0.67475,1.45328,-2.98929,-3.00163,-2.85739,-1.65122,-1.58976,-1.62473,-1.67979,1
-0.7594,-0.67475,1.45328,-2.03169,-2.90086,-1.54246,-1.45138,-1.41405,-1.38297,-1.46787,1
-0.7594,-0.67475,1.45328,-2.61458,-2.59857,-2.02062,-1.59719,-1.52894,-1.58824,-1.62232,1
-0.7594,-0.67475,1.45328,-2.94765,-3.05201,-2.49877,-1.62064,-1.56498,-1.56999,-1.67979,1
-0.7594,-0.67475,1.45328,-3.03092,-2.90086,-2.85739,-1.65326,-1.58525,-1.60648,-1.67979,1
-0.7594,-0.67475,1.45328,-2.11496,-2.04435,-1.54246,-1.44934,-1.35323,-1.36473,-1.4966,1
-0.7594,-0.67475,1.45328,-2.36477,-2.34665,-2.2597,-1.54723,-1.4771299999999998,-1.43315,-1.5720299999999998,1
-0.7594,-0.67475,1.45328,-2.65621,-2.59857,-2.02062,-1.60432,-1.50416,-1.51069,-1.6295,1
-0.7594,-0.67475,1.45328,-2.11496,-2.14512,-1.90108,-1.54111,-1.49064,-1.43315,-1.50019,1
-0.7594,-0.67475,1.45328,-2.4064,-2.4978,-2.37924,-1.59209,-1.5357,-1.48333,-1.60795,1
-0.7594,-0.67475,1.45328,-1.74025,-1.99397,-1.90108,-1.43507,-1.34873,-1.30543,-1.4642700000000002,1
-0.7594,-0.67475,1.45328,-2.11496,-2.0947400000000003,-1.662,-1.48605,-1.46586,-1.42403,-1.4642700000000002,1
-0.7594,-0.67475,1.45328,-2.53131,-2.44742,-2.02062,-1.57883,-1.52218,-1.53806,-1.5720299999999998,1
-0.7594,1.48167,-0.68794,-1.36554,-1.38937,-1.18384,-1.30558,-1.23835,-1.29631,-1.3206,1
